genre,rank,token,attention_score
Analytical,1,pl,0.095265284
Analytical,2,johnson,0.050669227
Analytical,3,boris,0.048775215
Analytical,4,related,0.034795366
Analytical,5,ex,0.032899424
Analytical,6,faces,0.025987651
Analytical,7,2021,0.024397762
Analytical,8,downing,0.018669732
Analytical,9,ahu,0.016465005
Analytical,10,shi,0.015820783
Analytical,11,australian,0.014798699
Analytical,12,as,0.012989417
Analytical,13,but,0.012807977
Analytical,14,said,0.012257453
Analytical,15,sk,0.012122231
Analytical,16,e,0.011777215
Analytical,17,ak,0.011623065
Analytical,18,is,0.01090036
Analytical,19,rachel,0.010761129
Analytical,20,spurs,0.010453295
Editorial,1,sp,0.08354607
Editorial,2,mr,0.05655497
Editorial,3,of,0.05066302
Editorial,4,nhs,0.033273157
Editorial,5,last,0.022823032
Editorial,6,but,0.01909154
Editorial,7,a,0.017313166
Editorial,8,who,0.015523142
Editorial,9,this,0.01443739
Editorial,10,states,0.013533827
Editorial,11,the,0.013208118
Editorial,12,britain,0.013029005
Editorial,13,what,0.012918518
Editorial,14,knows,0.012792114
Editorial,15,anyone,0.012507675
Editorial,16,california,0.012416997
Editorial,17,british,0.01174085
Editorial,18,we,0.011072685
Editorial,19,observer,0.010967368
Editorial,20,202,0.0108673815
Feature,1,sp,0.055548955
Feature,2,i,0.04079744
Feature,3,said,0.032348502
Feature,4,curry,0.021198057
Feature,5,brentford,0.020357393
Feature,6,my,0.019743437
Feature,7,related,0.01865029
Feature,8,currie,0.018622287
Feature,9,football,0.017813716
Feature,10,with,0.013176386
Feature,11,20,0.0110655045
Feature,12,trump,0.010285538
Feature,13,202,0.009942686
Feature,14,restaurant,0.009652605
Feature,15,venues,0.009469805
Feature,16,says,0.009464116
Feature,17,australia,0.0087238895
Feature,18,believe,0.008652953
Feature,19,email,0.0086356625
Feature,20,trolls,0.008267875
News,1,trump,0.08293354
News,2,sp,0.07598208
News,3,related,0.039511524
News,4,rop,0.03546988
News,5,after,0.032975502
News,6,ly,0.02626453
News,7,202,0.021968106
News,8,will,0.018439267
News,9,has,0.018407272
News,10,masters,0.015984844
News,11,ukraine,0.014353488
News,12,rats,0.013880802
News,13,argue,0.013560992
News,14,205,0.012594949
News,15,the,0.012483725
News,16,lost,0.012060181
News,17,praised,0.012045254
News,18,am,0.011528499
News,19,china,0.011261605
News,20,should,0.010914904
Review,1,o,0.08073231
Review,2,st,0.078024134
Review,3,sp,0.044651832
Review,4,this,0.027656414
Review,5,staging,0.027031884
Review,6,says,0.024198636
Review,7,mattress,0.022338824
Review,8,debut,0.017981496
Review,9,prize,0.015522305
Review,10,opening,0.013955614
Review,11,s,0.012928843
Review,12,opera,0.012623569
Review,13,we,0.012053732
Review,14,wagner,0.011793284
Review,15,discs,0.011720439
Review,16,here,0.011654457
Review,17,timothy,0.011619149
Review,18,memoir,0.011576717
Review,19,adaptation,0.011285212
Review,20,2021,0.011044745
